iteration,sim_reward,ep_reward
0,-0.5086321234703064,-42.869776756267385
1,-0.797234296798706,-149.50125229981506
2,-0.3205411732196808,-46.41052141667448
3,-0.13470840454101562,-143.53097999551406
4,-0.15047000348567963,-149.08292397522214
5,-0.3815246522426605,-51.62651531254684
6,-0.10133704543113708,-66.4583877116189
7,-0.23794721066951752,-96.8542795234599
8,-0.04811928793787956,-78.3545915214787
9,-0.43485331535339355,-102.71986240322107
10,-0.05117642134428024,-46.53758960566983
11,-0.11773104220628738,-24.566342814613083
12,0.1962708979845047,0.1588696006791972
13,-0.011913672089576721,-12.098454639198048
14,-0.421581506729126,203.27261315887563
15,0.3576686382293701,127.80475851410861
16,-0.0797811970114708,92.98351850669515
17,0.016288461163640022,35.58999384976745
18,-0.08871515840291977,65.69088567288381
19,-0.06120944768190384,103.1617757147818
20,-0.18027493357658386,480.0984303959679
21,-0.009361455217003822,39.088627791065775
22,-0.033725280314683914,385.2820500674055
23,0.4238957166671753,243.66317957296707
24,-0.042568404227495193,179.92361763214677
25,0.008410018868744373,451.7445422392431
26,0.5418013334274292,641.1632569116086
27,0.3033905029296875,186.88070199501652
28,0.6948031187057495,720.6844026641968
29,0.015947042033076286,566.413882557718
30,0.4915339946746826,657.2476505915411
31,0.33931663632392883,588.4369656446979
32,0.14556348323822021,107.09390455825384
33,0.3277575969696045,13.692667458452275
34,-0.06658884882926941,431.7082547993505
35,0.31153109669685364,576.8499592801726
36,0.14024308323860168,583.4563390324091
37,0.24420998990535736,603.2409443138603
38,0.40770480036735535,66.1405811448541
39,0.2873673141002655,599.3152179527916
40,1.5012367963790894,584.7947744544347
41,0.6614211201667786,663.762951123942
42,0.424848735332489,642.6951187451492
43,0.9270045161247253,717.393606242946
44,0.2110179215669632,675.2148127062123
45,0.540459156036377,569.8086878932821
46,0.09795091301202774,707.2823565728845
47,1.8353883028030396,790.9723779671396
48,0.17865844070911407,694.2383379572659
49,1.310407042503357,665.9250869866885
50,0.8476431369781494,558.3082122593149
51,1.071210503578186,717.7466545700839
52,0.011163881048560143,115.11440969119799
53,0.517464816570282,702.7235483553233
54,0.024132922291755676,576.4080912750545
55,0.9943508505821228,709.961664387751
56,0.3859386444091797,695.4541448791633
57,0.573447585105896,740.4068158883936
58,0.35990211367607117,772.1254000836283
59,0.6367583870887756,734.9942569922999
60,0.05111384764313698,738.5843708493944
61,0.8008365035057068,732.6022991617007
62,0.26698175072669983,817.1188490919994
63,0.6226174831390381,721.9849510502178
64,0.9556164741516113,690.0986520668731
65,-0.049176838248968124,66.70494030735045
66,0.5181500911712646,661.8233900747246
67,0.23099258542060852,789.6511968467854
68,0.44309893250465393,786.7059467871585
69,0.26038557291030884,746.1810923756755
70,0.28470513224601746,703.4726465851874
71,0.8302605748176575,767.5526293505573
72,0.38964542746543884,766.6533749171844
73,0.10074359178543091,98.1607295080154
74,0.4863528907299042,655.9344272510355
75,1.3081769943237305,467.04109090984576
76,0.7868745923042297,696.8366828132474
77,0.5752270221710205,920.3894114265556
78,0.6027881503105164,688.699267753822
79,-0.15401065349578857,43.760561928547844
80,0.03211614117026329,61.212304677321406
81,0.7705841064453125,668.1533127463542
82,0.62577885389328,804.959117921122
83,0.7678841948509216,787.3954951107487
84,0.5388596057891846,841.2303641360446
85,0.8397061228752136,738.2091576867734
86,-0.05197559669613838,360.16393485645864
87,-0.05949844792485237,341.8005935763417
88,0.6888134479522705,842.471898003784
89,0.7773191332817078,750.9232261464911
90,1.122180461883545,796.110838184289
91,1.145025610923767,716.6593052572701
92,0.7872161865234375,754.2566611089451
93,0.5059348344802856,737.6425731543821
94,0.9393357634544373,742.997503228617
95,0.8501010537147522,740.7720718681095
96,0.5110683441162109,112.45183336281693
97,0.5493735671043396,730.7676732781639
98,0.6376144289970398,745.947489567811
99,0.7178886532783508,598.990724671066
